pkid,pbid,layers,variables,constraints,method,amp,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,28,5,6,3,RasenganSegmentedSolver,0.005,58.32187070151307,100.0,0.34453051455116657,37,16.12627596128732,112.21505132783204,125858
0,29,5,6,3,RasenganSegmentedSolver,0.005,70.28795811518324,100.0,0.2741551639582882,41,19.934107563458383,115.67863141465932,141197
0,0,5,6,3,RasenganSegmentedSolver,0.01,36.25954198473282,99.99999999999999,0.5808796798397119,34,20.36656314623542,108.92661731690168,116642
0,1,5,6,3,RasenganSegmentedSolver,0.01,48.12734082397004,100.0,0.6142322085093632,37,16.41709980345331,112.53668141644448,125857
0,2,5,6,3,RasenganSegmentedSolver,0.01,45.91651542649728,100.0,0.44621899546779603,39,17.735812961822376,116.71508138626814,131996
0,3,5,6,3,RasenganSegmentedSolver,0.01,28.4,100.0,0.7046666660794444,34,18.13227436156012,107.00365291745402,116648
0,4,5,6,3,RasenganSegmentedSolver,0.01,36.80297397769517,100.0,0.793945830553448,39,16.855881373398006,118.09955325257033,131993
0,5,5,6,3,RasenganSegmentedSolver,0.01,37.13163064833006,100.0,0.5921414534362806,35,17.383338890504092,109.23314066440798,119713
0,6,5,6,3,RasenganSegmentedSolver,0.01,44.44444444444444,100.0,1.8189919216565222,36,18.152045840397477,111.33859654562548,122785
0,7,5,6,3,RasenganSegmentedSolver,0.01,46.588693957115005,99.99999999999999,0.3767499555260739,36,16.47058264981024,111.40654132911004,122791
0,8,5,6,3,RasenganSegmentedSolver,0.01,34.29054054054054,100.00000000000003,1.470650335999525,38,19.019312711898237,112.749230860034,128923
0,9,5,6,3,RasenganSegmentedSolver,0.01,58.12720848056537,100.0,0.3472835686875414,37,16.323218246689066,113.1587499473244,125853
0,10,5,6,3,RasenganSegmentedSolver,0.01,43.888888888888886,100.0,1.1870370357181068,38,19.609170690411702,113.96133871143684,128928
0,11,5,6,3,RasenganSegmentedSolver,0.01,40.81237911025145,100.0,0.4617135052466653,37,17.422870066948235,113.21387988724746,125858
0,12,5,6,3,RasenganSegmentedSolver,0.01,32.276119402985074,100.0,1.822994400706331,39,16.178442086093128,117.61195501382463,131984
0,13,5,6,3,RasenganSegmentedSolver,0.01,53.535353535353536,100.0,0.21774264373492952,35,18.94983701966703,111.2578005604446,119720
0,14,5,6,3,RasenganSegmentedSolver,0.01,32.89473684210527,100.0,0.24906015016838975,42,19.032818777719513,118.9717584173195,144270
0,15,5,6,3,RasenganSegmentedSolver,0.01,40.625,100.0,0.08464237964067062,36,16.9565547502134,114.39828973868862,122785
0,16,5,6,3,RasenganSegmentedSolver,0.01,50.326797385620914,100.0,0.486831987410668,37,16.852939747506753,112.83884746651165,125855
0,17,5,6,3,RasenganSegmentedSolver,0.01,54.86725663716814,100.0,0.23716814148980378,42,18.226205941755325,118.62209697626531,144282
0,18,5,6,3,RasenganSegmentedSolver,0.01,29.761904761904763,100.0,0.3454810493981674,38,16.650297528598458,115.39787757629529,128930
0,19,5,6,3,RasenganSegmentedSolver,0.01,53.68217054263565,99.99999999999999,0.8885658903621608,37,17.58853253745474,114.22224429342896,125857
0,20,5,6,3,RasenganSegmentedSolver,0.01,49.31506849315068,100.0,0.19186236129154624,40,18.075353965628892,116.95009017921984,138134
0,21,5,6,3,RasenganSegmentedSolver,0.01,40.79696394686907,100.0,1.026802655262986,36,18.55309008178301,113.02694202237763,122792
0,22,5,6,3,RasenganSegmentedSolver,0.01,36.8705035971223,100.0,0.43057553939611515,40,18.06295677809976,117.5810950929299,138133
0,23,5,6,3,RasenganSegmentedSolver,0.01,32.63358778625955,100.0,0.32766345820469994,36,16.812662310199812,109.03895580489188,122785
0,24,5,6,3,RasenganSegmentedSolver,0.01,53.69718309859155,99.99999999999999,0.08154609471325361,42,18.037968527525663,118.89745594654232,144279
0,25,5,6,3,RasenganSegmentedSolver,0.01,50.27624309392266,100.0,0.035378501483754675,44,21.204275256488472,116.84442077856511,150415
0,26,5,6,3,RasenganSegmentedSolver,0.01,42.201834862385326,100.0,0.9245871550387155,39,19.802914798259735,114.5729405109305,131993
0,27,5,6,3,RasenganSegmentedSolver,0.01,39.61605584642234,99.99999999999999,0.11998254784304102,49,19.187325816368684,121.05335887963884,165755
0,28,5,6,3,RasenganSegmentedSolver,0.01,52.63157894736842,100.0,0.2811634347550663,38,17.11586910393089,113.88594721001573,128926
0,29,5,6,3,RasenganSegmentedSolver,0.01,27.485380116959064,100.0,0.6267942578033925,37,16.983174178749323,112.55850764317438,125856
0,0,5,6,3,RasenganSegmentedSolver,0.015,42.22222222222222,100.0,0.6093121690220205,36,18.88331620208919,127.83712498680688,122785
0,1,5,6,3,RasenganSegmentedSolver,0.015,39.523809523809526,100.0,0.6609523796304764,38,19.411705978913233,133.02243928425014,128935
0,2,5,6,3,RasenganSegmentedSolver,0.015,54.988913525498894,100.0,0.29770879507129827,37,21.18845591903664,129.27811508602463,125854
0,3,5,6,3,RasenganSegmentedSolver,0.015,38.288288288288285,99.99999999999999,0.6122372367270396,35,19.18036748911254,104.03582687792368,119724
0,4,5,6,3,RasenganSegmentedSolver,0.015,38.94230769230769,100.0,0.7208104390455748,37,19.471131346654147,132.3542893254198,125857
0,5,5,6,3,RasenganSegmentedSolver,0.015,49.665924276169264,100.0,0.35872308810532044,35,20.71632963255979,128.22846921137534,119719
0,6,5,6,3,RasenganSegmentedSolver,0.015,52.04545454545455,99.99999999999999,1.4629870108970318,37,18.661038775229827,130.26430792571045,125857
0,7,5,6,3,RasenganSegmentedSolver,0.015,42.081447963800905,100.0,0.33155080198833264,36,19.912011246895418,128.5713813181501,122786
0,8,5,6,3,RasenganSegmentedSolver,0.015,44.66019417475729,100.0,1.1198422316099057,36,20.927724911365658,128.13500813674182,122785
0,9,5,6,3,RasenganSegmentedSolver,0.015,31.7016317016317,100.0,0.6050407921626421,37,19.705101772444323,132.67407052754425,125857
0,10,5,6,3,RasenganSegmentedSolver,0.015,53.11111111111111,100.0,0.8916049372809327,35,18.689874827861786,126.56287210411392,119721
0,11,5,6,3,RasenganSegmentedSolver,0.015,48.33702882483371,100.0,0.34824572824173916,38,20.177873177919537,131.7265521432273,128932
0,12,5,6,3,RasenganSegmentedSolver,0.015,51.40997830802603,100.0,1.26491323052298,32,18.71873800829053,117.22909551579505,110511
0,13,5,6,3,RasenganSegmentedSolver,0.015,39.86636971046771,100.0,0.21555146693446056,34,18.366416475735605,126.19482603413053,116649
0,14,5,6,3,RasenganSegmentedSolver,0.015,44.8559670781893,100.0,0.18501371726694657,36,20.095397401833907,127.7762603990268,122781
0,15,5,6,3,RasenganSegmentedSolver,0.015,15.584415584415584,100.0,0.08539944899699474,37,20.020828052656725,131.6924738723319,125854
0,16,5,6,3,RasenganSegmentedSolver,0.015,30.32967032967033,100.0,0.667614737810259,42,21.800606841454282,133.534298237646,144270
0,17,5,6,3,RasenganSegmentedSolver,0.015,31.20567375886525,100.0,0.3423784560131297,34,20.296043556416407,113.52026805351488,116649
0,18,5,6,3,RasenganSegmentedSolver,0.015,53.19634703196348,100.0,0.23211567721062554,35,23.290843854658306,114.04185391240753,119712
0,19,5,6,3,RasenganSegmentedSolver,0.015,36.511156186612574,100.0,1.2560851911276623,40,19.997430588118732,134.3716947217472,138138
0,20,5,6,3,RasenganSegmentedSolver,0.015,50.0,100.0,0.20509413057786208,36,20.571829191874713,129.8871925282292,122785
0,21,5,6,3,RasenganSegmentedSolver,0.015,55.14223194748359,99.99999999999999,0.7029540472613511,38,19.8141430336982,133.02293960028328,128924
0,22,5,6,3,RasenganSegmentedSolver,0.015,53.301886792452834,100.0,0.30613207534924536,33,19.05126685043797,121.25651524355635,113580
0,23,5,6,3,RasenganSegmentedSolver,0.015,43.0622009569378,100.00000000000003,0.2623257747975326,34,23.265194174367934,117.0147225135006,116649
0,24,5,6,3,RasenganSegmentedSolver,0.015,35.406698564593306,100.0,0.06459330140604601,43,25.208131486084312,129.2582950028591,147341
0,25,5,6,3,RasenganSegmentedSolver,0.015,49.44567627494457,100.0,0.03687711516322619,42,23.202318507013842,131.76832104590721,144269
0,26,5,6,3,RasenganSegmentedSolver,0.015,24.839400428265524,100.0,1.1447537461785868,35,20.22943000146188,127.1123826855328,119713
0,27,5,6,3,RasenganSegmentedSolver,0.015,33.33333333333333,100.0,0.18400447404292494,43,24.328860002802685,129.93351463135332,147353
0,28,5,6,3,RasenganSegmentedSolver,0.015,49.327354260089685,100.0,0.2607977341086667,39,18.792246075579897,133.79640140756965,131991
0,29,5,6,3,RasenganSegmentedSolver,0.015,44.12416851441242,99.99999999999999,0.49526305135383236,39,24.14561080490239,124.9662819840014,131989
