pkid,method,layers,depth,num_params
18,HeaSolver,5,116,300
18,HeaSolver,5,116,300
18,HeaSolver,5,116,300
18,HeaSolver,5,116,300
18,HeaSolver,5,116,300
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
19,HeaSolver,5,136,360
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
1,PenaltySolver,5,148,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
2,PenaltySolver,5,174,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
3,PenaltySolver,5,207,10
4,PenaltySolver,5,155,10
4,PenaltySolver,5,160,10
4,PenaltySolver,5,187,10
4,PenaltySolver,5,167,10
4,PenaltySolver,5,175,10
4,PenaltySolver,5,175,10
4,PenaltySolver,5,175,10
4,PenaltySolver,5,160,10
4,PenaltySolver,5,175,10
4,PenaltySolver,5,187,10
5,PenaltySolver,5,227,10
5,PenaltySolver,5,257,10
5,PenaltySolver,5,221,10
5,PenaltySolver,5,265,10
5,PenaltySolver,5,241,10
5,PenaltySolver,5,265,10
5,PenaltySolver,5,265,10
5,PenaltySolver,5,265,10
5,PenaltySolver,5,242,10
5,PenaltySolver,5,257,10
6,PenaltySolver,5,292,10
6,PenaltySolver,5,297,10
6,PenaltySolver,5,276,10
6,PenaltySolver,5,272,10
6,PenaltySolver,5,281,10
6,PenaltySolver,5,312,10
6,PenaltySolver,5,297,10
6,PenaltySolver,5,284,10
6,PenaltySolver,5,264,10
6,PenaltySolver,5,292,10
7,PenaltySolver,5,355,10
7,PenaltySolver,5,291,10
7,PenaltySolver,5,311,10
7,PenaltySolver,5,315,10
7,PenaltySolver,5,331,10
7,PenaltySolver,5,311,10
7,PenaltySolver,5,335,10
7,PenaltySolver,5,305,10
7,PenaltySolver,5,316,10
7,PenaltySolver,5,325,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
8,PenaltySolver,5,110,10
9,PenaltySolver,5,133,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,133,10
9,PenaltySolver,5,133,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,145,10
9,PenaltySolver,5,133,10
9,PenaltySolver,5,133,10
9,PenaltySolver,5,133,10
10,PenaltySolver,5,156,10
10,PenaltySolver,5,186,10
10,PenaltySolver,5,168,10
10,PenaltySolver,5,168,10
10,PenaltySolver,5,174,10
10,PenaltySolver,5,156,10
10,PenaltySolver,5,168,10
10,PenaltySolver,5,168,10
10,PenaltySolver,5,168,10
10,PenaltySolver,5,156,10
11,PenaltySolver,5,191,10
11,PenaltySolver,5,188,10
11,PenaltySolver,5,191,10
11,PenaltySolver,5,191,10
11,PenaltySolver,5,188,10
11,PenaltySolver,5,191,10
11,PenaltySolver,5,197,10
11,PenaltySolver,5,179,10
11,PenaltySolver,5,209,10
11,PenaltySolver,5,179,10
12,PenaltySolver,5,230,10
12,PenaltySolver,5,212,10
12,PenaltySolver,5,227,10
12,PenaltySolver,5,215,10
12,PenaltySolver,5,245,10
12,PenaltySolver,5,242,10
12,PenaltySolver,5,215,10
12,PenaltySolver,5,242,10
12,PenaltySolver,5,230,10
12,PenaltySolver,5,221,10
13,PenaltySolver,5,283,10
13,PenaltySolver,5,307,10
13,PenaltySolver,5,298,10
13,PenaltySolver,5,271,10
13,PenaltySolver,5,235,10
