pkid,method,layers,depth,num_params,latency_all
0,RasenganSolver,5,11531,19,1804448.0000000577
0,RasenganSolver,5,11147,19,1818599.111111167
0,RasenganSolver,5,10612,19,1723214.2222222707
0,RasenganSolver,5,11287,19,1779089.777777832
0,RasenganSolver,5,10272,19,1768668.444444491
0,RasenganSolver,5,11156,19,1775274.6666667187
0,RasenganSolver,5,11195,19,1728981.3333333845
0,RasenganSolver,5,10987,19,1699157.3333333838
0,RasenganSolver,5,10598,19,1722179.5555556042
0,RasenganSolver,5,10455,19,1714247.1111111606
1,RasenganSolver,5,33908,34,5561123.555555903
1,RasenganSolver,5,32150,34,5530446.222222581
1,RasenganSolver,5,36251,34,5523608.888889171
1,RasenganSolver,5,33516,34,5483242.66666705
1,RasenganSolver,5,34197,34,5442599.11111152
1,RasenganSolver,5,34387,34,5506151.1111114705
1,RasenganSolver,5,34619,34,5408305.777778145
1,RasenganSolver,5,32687,34,5567431.1111114845
1,RasenganSolver,5,33077,34,5376615.111111527
1,RasenganSolver,5,36722,34,5676071.111111357
