pkid,method,layers,depth,num_params,latency_all
17,ChocoSolver,5,29851,10,4621493.333334096
17,ChocoSolver,5,29486,10,4874350.222222622
18,ChocoSolver,5,25575,10,3718293.3333340795
18,ChocoSolver,5,21100,10,3124138.6666671713
19,ChocoSolver,5,50354,10,7694855.111110447
19,ChocoSolver,5,48254,10,7722321.777777217
0,RasenganSolver,5,449,3,70748.44444444461
0,RasenganSolver,5,491,3,73425.77777777796
1,RasenganSolver,5,10210,19,1715310.2222222677
1,RasenganSolver,5,10780,19,1711022.2222222765
2,RasenganSolver,5,34640,34,5549646.222222527
2,RasenganSolver,5,34335,34,5407299.555555923
3,RasenganSolver,5,66431,62,10521084.44444254
3,RasenganSolver,5,65053,62,10380999.111109301
4,RasenganSolver,5,1271,3,213439.99999999927
4,RasenganSolver,5,1782,4,273692.4444444427
5,RasenganSolver,5,3505,8,596575.9999999896
5,RasenganSolver,5,3528,8,594865.7777777673
6,RasenganSolver,5,4854,10,738328.8888888889
6,RasenganSolver,5,4490,10,747523.5555555528
7,RasenganSolver,5,5984,12,910204.4444444514
7,RasenganSolver,5,5986,12,890097.7777777835
8,RasenganSolver,5,870,3,142069.333333333
8,RasenganSolver,5,1288,4,193372.4444444437
9,RasenganSolver,5,2411,6,374485.33333332645
9,RasenganSolver,5,1761,5,299626.6666666639
10,RasenganSolver,5,3852,11,648330.6666666599
10,RasenganSolver,5,8828,24,1346940.4444444738
11,RasenganSolver,5,4340,11,669575.1111111048
11,RasenganSolver,5,4217,11,656437.3333333262
12,RasenganSolver,5,515,5,74503.11111111127
12,RasenganSolver,5,681,8,96707.55555555559
13,RasenganSolver,5,2787,19,436213.3333333234
13,RasenganSolver,5,5234,29,784323.5555555573
14,RasenganSolver,5,7789,45,1275008.0000000263
14,RasenganSolver,5,2838,29,428014.2222222123
15,RasenganSolver,5,6426,61,960323.5555555688
15,RasenganSolver,5,7971,72,1217162.6666666945
16,RasenganSolver,5,3188,9,453020.444444433
16,RasenganSolver,5,1338,5,217557.33333333253
17,RasenganSolver,5,3716,6,653383.1111111041
17,RasenganSolver,5,1438,2,237134.22222222126
18,RasenganSolver,5,4376,20,665539.5555555496
18,RasenganSolver,5,3968,20,658236.4444444365
19,RasenganSolver,5,7403,16,1220248.8888889086
19,RasenganSolver,5,9504,20,1483832.8888889258
